id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-150643,2025-02-06,000001,Vente,180700,61,,RUE BAUDUCHEU,0690,33800,33063,Bordeaux,33,,,33063000CW0225,,,5,,,,,,,,,,1,1,Maison,40,2,,,,,,-0.561106,44.822046
2025-150645,2025-02-10,000001,Vente,272000,7,,RUE ROBOREL DE CLIMENS,7970,33000,33063,Bordeaux,33,,,33063000LN0061,,,,,,,,,,,,,0,1,Maison,96,4,S,sols,,,55,-0.594219,44.847533
2025-150647,2025-02-19,000001,Vente,22500,47,,RUE MESTRE,6330,33200,33063,Bordeaux,33,,,33063000NI0044,,,84,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.611141,44.842879
2025-150657,2025-02-17,000001,Vente,136799,65,,RUE DONISSAN,2770,33000,33063,Bordeaux,33,,,33063000DU0258,,,5,26.37,,,,,,,,,1,2,Appartement,26,1,,,,,,-0.575147,44.828695
2025-150660,2025-02-20,000001,Vente,315000,28,,IMP LACROIX,4990,33000,33063,Bordeaux,33,,,33063000LB0292,,,1,62.94,,,,,,,,,1,2,Appartement,68,3,,,,,,-0.586266,44.84677
2025-150661,2025-02-05,000001,Vente,311476,90,,CHE LAFITTE,5030,33300,33063,Bordeaux,33,,,33063000SN0123,,,,,,,,,,,,,0,1,Maison,52,3,S,sols,,,497,-0.548463,44.881154
2025-150661,2025-02-05,000001,Vente,311476,90,,CHE LAFITTE,5030,33300,33063,Bordeaux,33,,,33063000SN0124,,,,,,,,,,,,,0,,,,,S,sols,,,38,-0.548587,44.880967
2025-150663,2025-02-27,000001,Vente,273900,23,,RUE DUBLAN,2830,33800,33063,Bordeaux,33,,,33063000EC0089,,,1,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.572864,44.827871
2025-150663,2025-02-27,000001,Vente,273900,23,,RUE DUBLAN,2830,33800,33063,Bordeaux,33,,,33063000EC0089,,,3,61.14,,,,,,,,,1,2,Appartement,58,3,,,,,,-0.572864,44.827871
2025-150666,2025-02-07,000001,Vente,520000,37,,RUE DU BOCAGE,1010,33200,33063,Bordeaux,33,,,33063000ON0089,,,12,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.598927,44.852994
2025-150666,2025-02-07,000001,Vente,520000,37,,RUE DU BOCAGE,1010,33200,33063,Bordeaux,33,,,33063000ON0089,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.598927,44.852994
